,mortality,temp,chem1,chem2,particle size
249,83.6,73.59,10.95,3.46,62.46
250,98.63,69.09,15.21,4.54,60.38
251,90.86,66.75,13.18,2.89,72.83
252,94.36,70.03,13.7,3.68,53.78
253,97.52,69.53,19.4,4.21,81.09
254,108.68,55.33,5.92,1.81,44.05
255,107.23,63.17,13,3.18,65.68
256,107.08,66,10.2,2.76,45.98
257,113.39,80.86,19.76,4.66,77.13
258,105.51,69.57,15.12,4.65,69.77
259,111.9,54.85,8.72,1.85,51.34
260,110.44,64.21,10.06,3.22,43.97
261,95.42,62.12,9.13,2.8,45.11
262,97.78,66.21,9,2.43,49.49
263,90.38,69.77,13.78,6.06,68.46
264,86.89,60.84,6.19,1.85,32.69
265,91.59,59.44,8,2.16,35.97
266,85.51,65.65,7.33,2.7,40.71
267,88.16,64.09,5.23,2.05,27.56
268,87.03,60.63,7.59,2,38.52
269,88.61,60.19,4.46,1.5,24.95
270,96.96,63.92,5.71,2.72,28.94
271,80.03,66.83,4.82,2.19,27.64
272,80.53,69.48,5.09,2.51,34.4
273,76.46,74.17,6.37,3.09,38.51
274,78.85,69.29,4.07,2.15,27.59
275,87.03,70.86,5.14,2.45,27.26
276,82.27,75.34,4,2.68,30.53
277,78.92,72.66,4.7,2.28,28.93
278,72.75,74.91,4.27,2.35,31.07
279,77.75,70.17,4.34,1.73,21.8
280,83.79,81.41,6.47,3.27,39.47
281,82.13,82.03,5.44,2.39,32.09
282,76.42,85.76,5,3.43,38.39
283,74.58,78.54,3.02,1.88,24.72
284,79.61,84.44,4.64,3.34,36.54
285,76.52,82.87,4.35,2.76,33.27
286,79.27,86.52,6.5,4.28,42.32
287,74.7,77.5,2.84,2.41,24.6
288,75.49,81.72,5.43,2.88,34.57
289,82.82,82.61,6.4,3.06,42.28
290,80.29,83.09,5.99,4.01,42.04
291,80.05,75.74,5.01,2.23,32.93
292,78.64,92.27,9.58,3.52,55.42
293,79.4,86.41,7.11,3.13,47.8
294,71.02,83.03,7.47,3.86,49.69
295,73.55,73.16,5.38,1.72,32.25
296,79.6,78.82,10.7,2.76,62.39
297,85.08,70.51,6.12,1.77,39.47
298,90.14,76.06,13.51,3.88,71.81
299,82.26,71.35,11.26,3.65,66.09
300,86.75,76.99,13.05,3.64,66.65
301,90.11,72.96,12.92,3.18,87.02
302,94.86,66.78,9.77,2.3,70.08
303,89.68,74.69,14.1,4.12,75.04
304,90.16,64.15,9.17,2.75,57.53
305,85.73,67.28,16.03,4.6,86.54
306,96.82,70.73,12.35,3.13,74.91
307,100.37,63.84,9.87,2.48,65.11
308,93.43,68.01,13.86,3.62,77.79
309,94.12,84.19,14.4,3.5,68.15
310,89.26,71.08,9.67,2.76,56.86
311,91.81,81.45,14.67,4.33,72.82
312,97.4,56.52,4.61,1.2,28.88
313,102.71,66.95,8.59,1.9,46.97
314,101.94,68.92,7.8,1.74,46.06
315,97.4,68.9,7.69,2.81,45.68
316,96.12,58.7,5.55,1.4,34.93
317,105.45,68.56,7.4,2.91,42.69
318,94.34,77.03,8.3,3.77,49.61
319,92.51,74.53,6.15,1.86,34.81
320,88.47,65.47,5.37,1.78,32.69
321,85.47,63.42,4.86,1.39,37.25
322,85.7,65.54,4.96,1.51,30.87
323,84.48,72.34,4.84,1.52,33.85
324,85.63,75.18,5.14,2.89,37.26
325,79.67,69.01,3.99,1.54,30.77
326,80.78,81.77,5.87,3.55,41.64
327,74.58,72.28,3.63,1.19,24.47
328,76.32,71.28,3.52,1.74,27.11
329,80.37,75.07,4.66,1.57,26.35
330,83.3,75.16,4.86,1.63,31.02
331,82.98,81.58,4.86,2.29,31.12
332,91.34,97.05,7.93,3.61,51.07
333,78.57,82.14,4.06,2.35,31.41
334,76.68,86.48,5.54,3.1,38.8
335,76.47,76.96,2.91,1.27,20.25
336,73.66,82.26,5.43,3.02,39.55
337,78.61,79.43,3.75,1.95,24.78
338,83.4,81.49,5.45,2.16,34.29
339,71.96,79.63,5.11,2.04,28.97
340,77.17,79.22,4.4,1.69,23.49
341,72.38,89.34,7.67,3.61,43.61
342,79.52,88.24,5.69,2.85,35.53
343,72.05,80.14,6.78,1.68,37.07
344,75.86,73.39,4.72,1.73,26.8
345,74.32,76.39,5.14,1.56,32.85
346,77.7,76.47,5.01,1.49,32.26
347,82.99,91.3,10.36,2.92,62.64
348,77.79,77.99,6.65,2.43,46.12
349,77.42,76.1,6.31,1.45,39.81
350,85.55,78.61,10.15,2.75,58.6
351,85.33,92.59,14.91,3,62.88
352,82.16,68.47,8.7,2.51,55.21
353,83.74,81.56,14.29,3.6,70.06
354,84.4,67.83,10.36,2.78,68.84
355,90.32,76.99,13.92,3,72.52
356,82.74,73.07,14.02,3.13,76.28
357,91.5,74.46,13.48,2.91,70.51
358,96.23,70.52,12.89,2.72,82.92
359,92.9,61.91,9.29,2.42,59.98
360,92.3,57.1,7.3,1.67,49.06
361,91.76,71.27,12.41,2.81,73.6
362,92.34,71.62,10.19,3.52,66.53
363,78.91,67.98,8.98,2.63,58.9
364,88.06,71.32,11.19,3.33,73.23
365,81.91,79.33,11.16,3.73,63.09
366,79.68,77.07,10.06,4.07,59.88
367,83.2,64.14,5.25,1.07,38.2
368,84.05,70.01,7.39,1.85,50.47
369,85.8,67.66,6.24,2.12,42.62
370,84.39,64.96,6.11,2.03,43.78
371,91.74,64.32,4.61,1.6,32.37
372,90.65,64.39,5.49,1.69,38.38
373,89.67,72.46,5.12,2.77,38.56
374,86.24,69.26,3.7,2.43,29.4
375,91.46,79.96,6.82,3.78,42.67
376,83.3,72.32,3.36,2.33,26.34
377,83.05,65.33,3.61,1.46,25.97
378,74.14,63.72,3.84,1.26,25.43
379,90.12,72.99,4.21,2.43,31.87
380,83.84,70.59,3.77,1.92,24.29
381,79.94,82.12,4.63,4.19,39.16
382,74.65,71.94,3.3,1.69,25.12
383,77.89,77.99,4.04,2.21,29.09
384,78.06,79.02,3.81,3.24,44.28
385,74.96,83.07,3.91,2.75,30.82
386,77.9,81.49,4.25,3.03,35.48
387,73.65,82.91,3.79,3.18,32
388,79.32,87.11,4.66,3.13,42.21
389,82.91,92.02,6.78,3.56,50.72
390,79.48,85.54,4.18,2.78,35.68
391,73.21,84.15,5.39,3.27,42.33
392,76.46,82.93,5.74,2.76,38.64
393,73.76,81.01,4.1,2.27,31.34
394,68.11,82.98,4.89,2.18,35.67
395,76.53,86.47,6.11,3.48,46.25
396,68.46,73.07,4.54,1.36,28.99
397,72.84,78.81,5.64,2.29,40.95
398,79.92,78.61,6.85,2.35,43.52
399,73.26,83.8,8.85,2.92,55.96
400,79.55,80.63,7.74,3.24,62.68
401,77.02,75.79,8.04,2.24,55.11
402,78.39,76.87,10.01,2.94,58.2
403,81.86,75.78,8.65,1.91,46.54
404,88.2,78.31,12.47,3.14,70.18
405,75.69,70.57,10.97,2.94,63.47
406,88.85,83.35,10.48,2.19,54.2
407,82.52,79.17,14.92,4.51,79.33
408,87.44,69.94,13.49,4.16,84.63
409,82.91,66.75,10.22,2.87,61.3
410,92.84,66.62,6.3,1.12,45.23
411,91.85,62.94,8.14,1.67,49.39
412,89.82,64.65,9.58,1.29,55.44
413,96.84,63.45,8.65,1.54,52.89
414,99.56,63.91,8.19,1.76,49.81
415,105.1,69.26,11.06,3.03,70.13
416,95.7,68.55,8.57,2.29,51.2
417,93.46,59.6,5.77,1.17,33.42
418,99.27,68.71,7.66,1.75,51.38
419,90.39,68.35,7.32,2.36,44.75
420,85.85,63.91,4.99,1.12,29.73
421,86.69,64.59,6.03,1.86,40.61
422,92.94,78.16,6.54,2,38.54
423,86.63,71.89,5.82,2.22,33.52
424,89.78,68.35,4.22,1.84,27.99
425,83.22,65.57,4.94,2.09,33.03
426,86.04,65.92,3.56,1.91,28.45
427,81.53,71.91,4.97,2.51,34.62
428,77.46,68.16,3.89,2.09,28.5
429,76.63,73.9,4.47,2.1,36.68
430,82.09,83.73,5.26,3.28,38.51
431,81.22,79.38,4.39,2.53,36.46
432,70.96,78.17,4.39,2.38,31.67
433,80.17,77.3,3.65,1.79,29.37
434,78.48,83.43,4.48,2.69,45.1
435,76.8,83.93,4.84,2.21,37.34
436,77.63,87.74,5.1,2.64,40.83
437,74.31,77.66,3.28,1.85,26.23
438,76.3,80.67,3.88,2.07,41.39
439,85.97,91.38,5.49,3.34,54.79
440,73.07,83.42,5.03,2.83,48.53
441,76.29,86.22,4.84,2.43,49.52
442,75.21,86.73,4.15,2.44,48.24
443,79.18,83.13,3.56,1.42,38.98
444,78.25,82.4,4.69,2.47,48.3
445,77.24,81.07,5.21,2.09,50.38
446,81.55,86.72,4.51,2.99,46.98
447,75.46,79.65,4.99,1.58,37.37
448,76.86,73.96,3.88,1.52,33.96
449,88.43,97.15,8.84,1.78,42
450,92.93,91.51,8.61,3.19,83.31
451,77.65,80.58,5.52,1.76,56.31
452,78.74,86.14,10.58,3.22,80.37
453,73.63,77.45,7,1.66,44.22
454,82.11,74.57,7.42,2.26,56.81
455,80.81,77.18,11.23,2.43,65.55
456,84.34,65.59,7.58,1.86,54.19
457,83.48,67.1,11.33,2.39,59
458,76.4,62.08,6.25,1.25,34.21
459,92.77,67.25,12.28,2.53,70.47
460,88.09,61.28,8.23,1.74,45.77
461,96.2,68.06,12.34,2.36,58.69
462,100.28,61.26,11.95,3.13,68.59
463,107.58,62.92,10.19,2.39,69.01
464,93.73,64.12,8.85,1.89,41.98
465,87.33,62.73,7.62,1.59,57.91
466,88.11,60.33,8.52,1.42,40.87
467,88.07,58.26,7.85,1.65,49.12
468,100.81,56.32,5.12,1.12,36.65
469,95.52,70.43,12.87,4.03,97.94
470,91.14,61.93,6.76,1.53,40.38
471,85.67,62.81,5.89,1.41,41.46
472,88.24,66.1,6.69,1.48,52.88
473,88.61,76.3,7.13,2.31,66.78
474,85.64,58.65,4.22,1.24,33.82
475,87.29,64.99,4.96,1.38,36.4
476,83.92,66.89,4.23,1.33,35.32
477,89.15,72.41,4.27,1.42,41.24
478,87.61,72.35,4.88,1.56,37.87
479,81.99,71.47,4.83,1.93,45.54
480,84.86,74.14,4.23,1.51,37.26
481,81.17,65.76,3.08,1.16,35.95
482,87.33,83.13,4.91,1.39,42.48
483,86.4,73.7,3.17,1.62,42.84
484,85.9,76.09,3.75,1.29,34.24
485,79.01,69.63,2.8,0.86,37.36
486,83.49,86.79,4.83,1.59,39.51
487,87.88,86.49,4.32,1.9,54.25
488,74.94,78.49,3.63,1.6,37.89
489,80.32,84.7,4.97,2.01,48.03
490,81.75,80.75,3.82,1.79,43.51
491,78.68,84.53,4.12,1.9,48.69
492,74.62,85.34,4.47,2.08,54.48
493,74.16,83.88,4.02,2.28,49.22
494,71.5,84.91,4.26,2.23,50.34
495,75.89,84.63,4.94,2.31,55.97
496,74.89,78.23,2.52,1.5,35.5
497,77.36,86.6,6.06,2.31,62.81
498,73.63,79.98,3.5,1.65,38.61
499,81.17,90.93,5.8,2.55,63.6
500,83.91,93.43,8.37,2.83,57.53
501,82.36,90.16,6.6,2.05,54.97
502,79.74,80.38,4.34,1.57,47.22
503,73.46,82.37,7.75,2.28,69.14
504,79.03,75.35,4.74,1.72,42.17
505,76.56,72.29,5.76,1.49,45.59
506,78.52,75.68,8.45,1.89,70.72
507,89.43,73.33,8.24,1.63,57.58
508,85.49,70.52,8.01,1.58,62.61
